train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9982425976818646,0.9981021361384393,0.9982425976818646,0.9996516590180983,0.9999966093530728,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  0   0 996   2   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  2   0   0   0   0 758]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,original,0.9982078853046595,0.9968468468468469,0.9982078853046595,0.9992800575953923,0.9999698456798161,"[[ 39   0   0   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 184   2   0   0]
 [  0   0   0  73   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,original,0.9975382238264879,0.9793747205328908,0.9975382238264879,0.9992629709859765,0.9998407294406323,"[[  20    0    0    0    0    0]
 [   0  180    0    1    0    0]
 [   0    0  317    0    0    0]
 [   5    0    1 3165    0    3]
 [   0    0    0    2  310    0]
 [   0    0    0    0    0  469]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,D (OOD),original,0.9038323101335141,0.842324745353009,0.9038323101335141,0.9789670168254104,0.9879507918312814,"[[ 435    0    0    2    0    0]
 [   0  167    0    0    0    4]
 [  19  249 1348   14   46  322]
 [   1    3    0 2147    0    0]
 [   4   16    3    0  268   53]
 [   1    0    0    0    1 2166]]"
A,MSUMG (OOD),original,0.9503902693257239,0.9607254182769586,0.9503902693257239,0.9914797204497646,0.998560503970822,"[[ 1563     0     3     0     2    42]
 [    1  1862     1     0     1   250]
 [    2     5 10614     2     3   415]
 [    0     3     3  2978     2   183]
 [    2     4     3     1  3471   166]
 [    1     3     5     1     1  6697]]"
B,A,original,0.9803718662449613,0.9678643736817932,0.9803718662449613,0.9962083884691094,0.9990933375170408,"[[294   2   0   0   0   0]
 [  0 239   1   0   0   0]
 [  2   1 995   0   0   0]
 [  2   2   1 569   0   0]
 [  0  58   0   0 597   0]
 [  1   4   0   0   0 755]]"
B,B,original,0.9961240310077519,0.9892672858617132,0.9961240310077519,0.9991273996509599,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  1 42  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
B,C,original,0.9814298601166961,0.9663815166156332,0.9814298601166961,0.996856658399443,0.999936402302526,"[[ 38   1   0   0   0   0]
 [  0  19   0   0   0   0]
 [  1   0 183   2   0   0]
 [  0   1   1  71   0   0]
 [  0   3   0   0  68   0]
 [  0   0   0   0   0 148]]"
B,MARISMA,original,0.9878756777184283,0.9701583476884471,0.9878756777184283,0.9980115768848409,0.9993257813144926,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    1  316    0    0    0]
 [   1   26    2 3143    0    2]
 [   0   17    1    0  294    0]
 [   0    1    0    0    0  468]]"
B,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
B,D (OOD),original,0.8430877060393169,0.8317318058076565,0.8430877060393169,0.9585969688395631,0.9661701991131572,"[[ 425    0    8    0    0    4]
 [   0  166    1    0    0    4]
 [   3   64 1409    8    1  513]
 [   1    0  576 1553    0   21]
 [   1   24   10    0  237   72]
 [   0    1    1    0    0 2166]]"
B,MSUMG (OOD),original,0.8602224011349255,0.890649572692205,0.8602224011349255,0.9787060054823516,0.9940062873921399,"[[ 1453     1   114     0     0    42]
 [    1  1370   480     0     0   264]
 [    0     3 10620     2     0   416]
 [    0     3   489  2492     1   184]
 [    1   240    80     1  3155   170]
 [    1     1    12     0     1  6693]]"
C,A,original,0.988419458793294,0.9854135274975394,0.988419458793294,0.9981347669634614,0.9991561985143634,"[[288   1   4   3   0   0]
 [  0 239   1   0   0   0]
 [  0   1 997   0   0   0]
 [  0   0   3 571   0   0]
 [  0  21   0   0 634   0]
 [  0   0   0   0   0 760]]"
