train,test,space,balanced_accuracy,f1_macro,recall_macro,specificity_macro,roc_auc,cm
A,A,original,0.9988481948410953,0.9991113172781585,0.9988481948410953,0.9998114704654596,0.9999974310530368,"[[296   0   0   0   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,A,latent,0.9977220687149693,0.998256995428276,0.9977220687149693,0.9996984377990189,0.9998477518169816,"[[294   0   0   2   0   0]
 [  0 239   1   0   0   0]
 [  0   0 997   1   0   0]
 [  0   0   1 573   0   0]
 [  0   0   0   0 655   0]
 [  0   0   0   0   0 760]]"
A,B,original,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,B,latent,1.0,1.0,1.0,1.0,1.0,"[[19  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0 43  0  0  0]
 [ 0  0  0 31  0  0]
 [ 0  0  0  0 28  0]
 [ 0  0  0  0  0 70]]"
A,C,original,0.9925473333559944,0.9942119102389402,0.9925473333559944,0.9986876478453152,0.999974966007517,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 185   1   0   0]
 [  0   0   1  72   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,C,latent,0.9902642283331634,0.9926046907791329,0.9902642283331634,0.9982114573691248,0.9999626999195815,"[[ 38   0   1   0   0   0]
 [  0  19   0   0   0   0]
 [  0   0 185   1   0   0]
 [  0   0   2  71   0   0]
 [  0   0   0   0  71   0]
 [  0   0   0   0   0 148]]"
A,MARISMA,original,0.9978282518303568,0.9881904725044851,0.9978282518303568,0.9994378226285775,0.9998579506107202,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    0  316    0    0    1]
 [   2    0    6 3163    0    3]
 [   0    0    2    0  310    0]
 [   0    0    0    0    0  469]]"
A,MARISMA,latent,0.998624989749023,0.9901431747001199,0.998624989749023,0.9996784386054783,0.9999042738825089,"[[  20    0    0    0    0    0]
 [   0  181    0    0    0    0]
 [   0    0  316    0    0    1]
 [   2    0    1 3168    0    3]
 [   0    0    1    0  311    0]
 [   0    0    0    0    0  469]]"
A,RKI,original,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
A,RKI,latent,1.0,1.0,1.0,1.0,1.0,"[[ 9  0  0  0  0  0]
 [ 0 72  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0  2  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 46]]"
